transaction_id,customer_id,transaction_date,product_id,quantity,unit_price,total_amount,discount_amount,payment_method,shipping_cost,order_status,channel
TXN0000014683,CUST003154,2023-01-21 10:53:43,PROD000196,1,198.0,198.0,0.0,Google Pay,0.0,Returned,Website
TXN0000008043,CUST000798,2023-12-02 01:10:58,PROD000013,2,334.47,668.94,0.0,PayPal,0.0,Completed,In-Store
TXN0000021313,CUST000844,2023-07-30 17:17:40,PROD000020,1,223.82,223.82,0.0,Credit Card,0.0,Returned,Website
TXN0000002204,CUST003478,2024-08-12 22:50:29,PROD000059,1,76.01,59.07,16.94,Debit Card,0.0,Completed,Website
TXN0000021040,CUST004611,2024-05-12 23:02:59,PROD000091,2,47.99,95.98,0.0,PayPal,0.0,Completed,Website
TXN0000005592,CUST004442,2023-09-20 20:35:52,PROD000171,1,234.41,195.74,38.67,Google Pay,0.0,Completed,Website
TXN0000007698,CUST004394,2024-05-15 21:01:56,PROD000051,1,204.56,155.6,48.96,PayPal,0.0,Completed,Mobile App
TXN0000009204,CUST004014,2023-08-08 00:26:58,PROD000163,1,197.26,197.26,0.0,Google Pay,0.0,Completed,In-Store
TXN0000003700,CUST000867,2023-07-26 14:33:45,PROD000095,1,201.2,201.2,0.0,Google Pay,0.0,Completed,Website
TXN0000003486,CUST002953,2024-03-09 12:46:19,PROD000169,1,499.99,499.99,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000024748,CUST004981,2024-01-12 13:57:18,PROD000071,1,18.01,18.01,0.0,Credit Card,13.71,Completed,Website
TXN0000020550,CUST002063,2024-05-10 01:31:08,PROD000085,1,229.32,229.32,0.0,Credit Card,0.0,Completed,Website
TXN0000012106,CUST002134,2024-02-03 21:30:09,PROD000074,1,39.92,39.92,0.0,Debit Card,8.88,Completed,Website
TXN0000024461,CUST003653,2023-12-10 19:54:25,PROD000145,2,78.93,144.78,13.08,PayPal,0.0,Completed,Website
TXN0000015184,CUST004716,2024-07-05 14:20:36,PROD000197,1,238.41,225.66,12.75,Apple Pay,0.0,Completed,Mobile App
TXN0000004912,CUST002669,2024-07-03 16:16:21,PROD000134,1,32.54,32.54,0.0,Google Pay,8.69,Completed,Website
TXN0000006268,CUST001098,2024-11-14 06:34:49,PROD000134,1,32.54,32.54,0.0,PayPal,12.13,Completed,In-Store
TXN0000000666,CUST000390,2023-01-16 10:17:54,PROD000107,1,150.46,150.46,0.0,Credit Card,0.0,Completed,Mobile App
TXN0000007866,CUST003897,2024-12-24 10:13:59,PROD000082,1,111.9,111.9,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000021201,CUST001874,2023-12-25 01:12:02,PROD000197,3,238.41,715.23,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000010301,CUST002921,2024-03-24 14:50:14,PROD000132,1,34.38,34.38,0.0,PayPal,13.47,Completed,Mobile App
TXN0000015044,CUST004160,2023-08-08 09:17:33,PROD000013,2,334.47,668.94,0.0,Debit Card,0.0,Completed,Mobile App
TXN0000006095,CUST004047,2023-09-16 14:34:20,PROD000197,2,238.41,476.82,0.0,Google Pay,0.0,Completed,Website
TXN0000001957,CUST002487,2023-02-05 22:18:27,PROD000015,3,419.19,1257.57,0.0,Credit Card,0.0,Completed,In-Store
TXN0000003758,CUST000013,2024-08-06 16:25:56,PROD000051,3,204.56,613.68,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000011605,CUST004232,2023-04-29 18:47:48,PROD000102,1,56.45,51.53,4.92,PayPal,0.0,Completed,Website
TXN0000005570,CUST001431,2024-05-21 05:13:03,PROD000000,1,250.63,250.63,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000006369,CUST002546,2023-02-24 07:01:26,PROD000144,1,224.37,224.37,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000006492,CUST003480,2023-01-12 14:36:04,PROD000074,1,39.92,39.92,0.0,Credit Card,12.41,Completed,Mobile App
TXN0000001008,CUST003014,2024-07-21 02:14:01,PROD000095,1,201.2,201.2,0.0,Credit Card,0.0,Completed,Mobile App
TXN0000013225,CUST004306,2023-08-01 05:21:00,PROD000170,2,313.91,543.61,84.21,Debit Card,0.0,Completed,Website
TXN0000023875,CUST002899,2023-02-04 03:49:50,PROD000069,1,290.3,290.3,0.0,Debit Card,0.0,Completed,Mobile App
TXN0000002760,CUST001200,2023-06-02 18:11:14,PROD000145,2,78.93,157.86,0.0,PayPal,0.0,Completed,In-Store
TXN0000022373,CUST003742,2023-10-13 16:13:46,PROD000091,1,47.99,47.99,0.0,Debit Card,8.42,Completed,In-Store
TXN0000012158,CUST001200,2024-08-05 17:09:39,PROD000109,1,236.53,236.53,0.0,PayPal,0.0,Completed,Website
TXN0000011202,CUST000861,2023-12-30 21:50:03,PROD000134,1,32.54,32.54,0.0,PayPal,13.98,Completed,Mobile App
TXN0000015016,CUST002770,2024-02-24 11:03:53,PROD000074,1,39.92,39.92,0.0,Debit Card,14.64,Completed,Mobile App
TXN0000018985,CUST003094,2024-03-20 23:46:10,PROD000051,1,204.56,204.56,0.0,PayPal,0.0,Cancelled,Website
TXN0000014222,CUST004265,2023-07-13 14:03:10,PROD000095,1,201.2,183.65,17.55,Google Pay,0.0,Completed,Mobile App
TXN0000010614,CUST003227,2023-03-27 12:10:34,PROD000074,2,39.92,71.09,8.75,Debit Card,0.0,Cancelled,Mobile App
TXN0000015134,CUST004133,2024-05-16 18:38:04,PROD000013,1,334.47,334.47,0.0,Debit Card,0.0,Completed,Mobile App
TXN0000014065,CUST000408,2024-12-20 08:37:30,PROD000157,1,189.69,189.69,0.0,Credit Card,0.0,Completed,Mobile App
TXN0000021368,CUST002922,2024-04-22 01:46:58,PROD000107,1,150.46,150.46,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000012936,CUST003911,2024-06-04 09:03:00,PROD000020,1,223.82,203.01,20.81,Credit Card,0.0,Completed,Mobile App
TXN0000012132,CUST004080,2024-12-30 07:10:03,PROD000017,1,189.17,189.17,0.0,Debit Card,0.0,Completed,Website
TXN0000008029,CUST000290,2024-03-26 01:09:22,PROD000134,1,32.54,32.54,0.0,Apple Pay,9.66,Cancelled,Mobile App
TXN0000012336,CUST004633,2023-03-20 00:27:26,PROD000067,2,205.03,410.06,0.0,Google Pay,0.0,Completed,Website
TXN0000001391,CUST000134,2023-06-18 17:14:43,PROD000095,1,201.2,166.84,34.36,PayPal,0.0,Completed,Mobile App
TXN0000017376,CUST003232,2024-07-13 05:20:31,PROD000015,1,419.19,338.18,81.01,Debit Card,0.0,Completed,Website
TXN0000018493,CUST002063,2024-05-13 05:32:45,PROD000017,1,189.17,189.17,0.0,PayPal,0.0,Completed,Website
TXN0000012139,CUST004621,2024-06-06 17:47:42,PROD000091,2,47.99,95.98,0.0,Debit Card,0.0,Completed,Website
TXN0000007321,CUST002307,2023-10-26 01:40:15,PROD000078,1,101.94,101.94,0.0,Apple Pay,0.0,Completed,Website
TXN0000017902,CUST003023,2024-09-25 21:11:13,PROD000163,1,197.26,197.26,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000013268,CUST004977,2024-08-09 11:40:54,PROD000134,1,32.54,28.2,4.34,PayPal,9.65,Completed,Mobile App
TXN0000021813,CUST000575,2024-07-09 22:35:28,PROD000126,1,49.42,49.42,0.0,Debit Card,10.96,Completed,Website
TXN0000012332,CUST001222,2023-04-08 08:45:58,PROD000033,1,288.23,288.23,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000024582,CUST004952,2024-05-16 23:18:50,PROD000095,1,201.2,201.2,0.0,PayPal,0.0,Completed,Mobile App
TXN0000022164,CUST004401,2023-04-09 20:58:35,PROD000120,1,160.76,160.76,0.0,PayPal,0.0,Completed,Website
TXN0000007266,CUST003378,2024-09-26 23:13:23,PROD000051,1,204.56,204.56,0.0,PayPal,0.0,Completed,Mobile App
TXN0000003651,CUST001409,2023-10-17 12:09:08,PROD000074,1,39.92,39.92,0.0,PayPal,6.04,Completed,Mobile App
TXN0000023201,CUST003091,2024-04-26 03:23:15,PROD000184,2,181.8,363.6,0.0,PayPal,0.0,Returned,Mobile App
TXN0000019201,CUST000526,2023-05-18 04:03:27,PROD000074,1,39.92,39.92,0.0,Debit Card,13.71,Completed,Mobile App
TXN0000006548,CUST004407,2024-05-15 18:23:56,PROD000157,1,189.69,189.69,0.0,Apple Pay,0.0,Completed,Website
TXN0000022970,CUST000018,2023-03-12 11:44:07,PROD000131,1,294.34,294.34,0.0,Credit Card,0.0,Completed,Mobile App
TXN0000021912,CUST004882,2023-04-17 13:41:47,PROD000015,1,419.19,419.19,0.0,PayPal,0.0,Completed,In-Store
TXN0000019614,CUST004028,2024-07-07 08:31:12,PROD000114,2,383.05,766.1,0.0,Debit Card,0.0,Completed,Website
TXN0000021209,CUST004288,2023-01-09 19:13:44,PROD000102,1,56.45,56.45,0.0,Apple Pay,0.0,Completed,Website
TXN0000022487,CUST004589,2024-02-27 11:35:11,PROD000096,3,130.22,390.66,0.0,Google Pay,0.0,Completed,In-Store
TXN0000002239,CUST001743,2024-10-07 11:41:51,PROD000013,1,334.47,279.58,54.89,Apple Pay,0.0,Completed,Mobile App
TXN0000016371,CUST000940,2024-04-19 23:56:27,PROD000015,1,419.19,419.19,0.0,Apple Pay,0.0,Completed,Website
TXN0000023379,CUST004178,2024-11-09 13:54:00,PROD000094,1,159.21,159.21,0.0,Google Pay,0.0,Completed,Website
TXN0000007624,CUST004621,2024-05-14 13:26:40,PROD000188,1,165.59,165.59,0.0,Debit Card,0.0,Completed,Website
TXN0000000464,CUST002606,2023-12-13 08:31:55,PROD000080,2,160.07,320.14,0.0,Apple Pay,0.0,Completed,Website
TXN0000005018,CUST002318,2024-01-01 14:30:28,PROD000120,1,160.76,160.76,0.0,Apple Pay,0.0,Completed,Website
TXN0000005445,CUST002101,2023-06-01 19:08:19,PROD000121,3,337.21,1011.63,0.0,PayPal,0.0,Completed,In-Store
